**** BEGIN LOGGING AT Sun Feb 25 00:00:00 2018

Feb 25 00:35:39 <afireinside>	old enough to.... party?
Feb 25 00:35:44 <dekl1ne>	OWLAna
Feb 25 00:35:47 <ieth1ks>	hi
Feb 25 00:35:50 <n1e2l3h>	lol
Feb 25 00:35:57 <dizzyjump>	Hi koolWALLY
Feb 25 00:35:58 <romm9r>	old
Feb 25 00:36:08 <ieth1ks>	emong1 emong1 eth1ksMADMEN
Feb 25 00:36:11 <afireinside>	enough
Feb 25 00:36:14 <ulramok>	nioce
Feb 25 00:36:23 <mdgplayer>	OWLLucio
Feb 25 00:36:34 <afireinside>	my dad says I cant be on here for more than 30 minutes
Feb 25 00:36:37 <killerbaenana>	calvinMONIKA
Feb 25 00:36:43 <muertiaow>	owldal100
Feb 25 00:36:44 <dinoash10>	when a twitch stream is popular enough to become an open chat room when it's down xD
Feb 25 00:36:55 <killerbaenana>	o
Feb 25 00:36:58 <afireinside>	this is Overwatch Chat
Feb 25 00:36:58 <ieth1ks>	do i have to cheer in order to get the loot?
Feb 25 00:37:06 <afireinside>	yes
Feb 25 00:37:13 <killerbaenana>	OWLWinston OWLWinston
Feb 25 00:37:13 <dizzyjump>	#Giveaways make the streams alive
Feb 25 00:37:15 <afireinside>	OWLDVa OWLHanzo OWLDoomfist OWLAna OWLBastion OWLGenji OWLPharah OWLMoira OWLSoldier76 OWLOrisa OWLJunkrat OWLMei OWLLucio OWLMcCree OWLReinhardt OWLMercy OWLTracer OWLSombra OWLTorbjorn OWLZarya OWLZenyatta OWLReaper OWLRoadhog OWLWidowmaker OWLSymmetra OWLWinston
Feb 25 00:37:36 <antifrog0207>	OWLGenji
Feb 25 00:37:37 <afireinside>	I love overwatch BibleThump
Feb 25 00:37:37 <ieth1ks>	??? eth1ksHYPE
Feb 25 00:37:40 <tomng777>	OWLLucio OWLNYE
Feb 25 00:37:58 <afireinside>	IM SO
Feb 25 00:38:02 <afireinside>	EXITED
Feb 25 00:38:03 <kuwagtx>	OWLHOU OWLSymmetra OWLReaper OWLTracer OWLReinhardt OWLBastion
Feb 25 00:38:07 <afireinside>	and I just cant hide it
Feb 25 00:38:19 <hyperblitzer190>	People are still in chat???
