**** BEGIN LOGGING AT Fri Mar 16 00:00:00 2018

Mar 16 00:01:01 <therealkingtruffle>	Jake the snake PokSceptile
Mar 16 00:01:01 <jetgc>	@FiftyCaL27 haHAA good one
Mar 16 00:01:01 <nymo>	HeyGuys
Mar 16 00:01:01 <sirbillybob>	LET ORISA FLY
Mar 16 00:01:02 <noshat7>	PogChamp
Mar 16 00:01:02 <pi31415i>	score?
Mar 16 00:01:02 <antig0ne>	what? they were so aggressive
Mar 16 00:01:02 <grapplethug>	moon2SMUG
Mar 16 00:01:02 <nheat>	HeyGuys
Mar 16 00:01:03 <ouriel>	PogChamp
Mar 16 00:01:03 <huntersdream19>	JAKE HAS A RIPTIRE JAKE OW HAS A RIPTIRE
Mar 16 00:01:03 <sal16>	JAKE IS MAS BC HE IS BAD
Mar 16 00:01:04 <lunality33>	FREE MENDO
Mar 16 00:01:04 <lochsa_>	mendoLaw LETT MENDO FUCK mendoLaw
Mar 16 00:01:04 <iluvdigs>	KappaPride I'm here KappaPride I'm queer KappaPride For Muma KappaPride I cheer
Mar 16 00:01:04 <zenkihachi>	cmonBruh
Mar 16 00:01:04 <therealdeal73195>	WE ARE MARRIED MEN
Mar 16 00:01:04 <hellenkellerscatmittens>	hx
Mar 16 00:01:04 <ckymatty>	J LUL KE
Mar 16 00:01:05 <tectonic99>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:01:05 <asciigoat>	GOSU HAIR
Mar 16 00:01:05 <ayyymisquatcho>	TriHard 7
Mar 16 00:01:05 <ladylolia>	OWLOrisa OWLMcCree
Mar 16 00:01:05 <deathcavalier>	HELLO GLADIATORRS LONDON HERE GIMME THE JUICE
Mar 16 00:01:05 <tonuchi>	Hydration GivePLZ take GivePLZ my GivePLZ water SabaPing
Mar 16 00:01:05 <capt_n_kru>	he's not bad wtf NotLikeThis
Mar 16 00:01:06 <mikomai>	@DaFlakyBaboon cmonBruh
Mar 16 00:01:06 <zekenator20>	#FREEMENDO
Mar 16 00:01:06 <julius_sketch>	LET MCCREE RODE PRISA
Mar 16 00:01:06 <eggleggs>	Fissure the most handsome, the best main tank, greatest in the world. who is better than fissure? nobody
Mar 16 00:01:06 <64somebody>	owlgla100
Mar 16 00:01:06 <sup3rm4d>	OWLWinston
Mar 16 00:01:06 <outwest>	RIDE moon2L
Mar 16 00:01:07 <yguerrero91>	FBtouchdown FBtouchdown FBtouchdown FBtouchdown
Mar 16 00:01:07 <dtm360360>	reported
Mar 16 00:01:07 <maxthegod32>	LET MCREE RIDE ORISA
Mar 16 00:01:07 <jimmywho98>	@cmoffatt01 TriHard 7
Mar 16 00:01:07 <undeed>	LET MCREE RIDE ORISA
Mar 16 00:01:07 <marblefox_streams>	PokChandelure PokSceptile PokShadowmew
Mar 16 00:01:08 <raphak3>	OWLHOU OWLHOU OWLHOU OWLHOU OWLHOU
Mar 16 00:01:08 <cali_icon>	OWLHOU Go Outlaws! moon2MLADY
Mar 16 00:01:08 <mex_cuz_i_can>	HOUSTON YOU HAVE A J LUL K E
Mar 16 00:01:09 <adrirsbp>	LUL Jake
Mar 16 00:01:09 <mjeighty>	H LUL U S T O N
Mar 16 00:01:09 <nacasters>	Let McCree ride Orisa LUL
Mar 16 00:01:09 <ripjaw92>	📞 4Head HELLO GLADIATORS? 📞 4Head LONDON HERE 📞 4Head CAN WE HAVE FISSURE BACK? 📞 4Head
Mar 16 00:01:09 <ozzeluroth304>	SHEILDS UP BABY
Mar 16 00:01:09 <rnrth17>	KappaPride
Mar 16 00:01:09 <impurefps>	OWLMei OWLMei
